PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(31)	(expected)	(over/under)	(fold Enrichment)	P-value
regulation of protein stability (GO:0031647)	15	0	.04	-	 < 0.01	1.00E00
regulation of pH (GO:0006885)	27	0	.07	-	 < 0.01	1.00E00
amino acid metabolic process (GO:0006520)	100	0	.26	-	 < 0.01	1.00E00
positive regulation of molecular function (GO:0044093)	184	0	.48	-	 < 0.01	1.00E00
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	15	0	.04	-	 < 0.01	1.00E00
regulation of hemopoiesis (GO:1903706)	7	0	.02	-	 < 0.01	1.00E00
negative regulation of molecular function (GO:0044092)	83	0	.22	-	 < 0.01	1.00E00
sensory perception of chemical stimulus (GO:0007606)	4	0	.01	-	 < 0.01	1.00E00
sensory perception of sound (GO:0007605)	11	0	.03	-	 < 0.01	1.00E00
cellular response to steroid hormone stimulus (GO:0071383)	6	0	.02	-	 < 0.01	1.00E00
visual perception (GO:0007601)	20	0	.05	-	 < 0.01	1.00E00
mitotic DNA replication initiation (GO:1902975)	6	0	.02	-	 < 0.01	1.00E00
sensory perception (GO:0007600)	41	0	.11	-	 < 0.01	1.00E00
intracellular iron ion homeostasis (GO:0006879)	5	0	.01	-	 < 0.01	1.00E00
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	5	0	.01	-	 < 0.01	1.00E00
zymogen activation (GO:0031638)	6	0	.02	-	 < 0.01	1.00E00
regulation of cell junction assembly (GO:1901888)	15	0	.04	-	 < 0.01	1.00E00
protein monoubiquitination (GO:0006513)	5	0	.01	-	 < 0.01	1.00E00
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	23	0	.06	-	 < 0.01	1.00E00
intracellular calcium ion homeostasis (GO:0006874)	53	0	.14	-	 < 0.01	1.00E00
regulation of membrane depolarization (GO:0003254)	5	0	.01	-	 < 0.01	1.00E00
intracellular monoatomic ion homeostasis (GO:0006873)	106	0	.28	-	 < 0.01	1.00E00
ubiquitin-dependent protein catabolic process (GO:0006511)	191	0	.50	-	 < 0.01	1.00E00
positive regulation of cellular component biogenesis (GO:0044089)	43	0	.11	-	 < 0.01	1.00E00
regulation of cellular component biogenesis (GO:0044087)	116	0	.30	-	 < 0.01	1.00E00
negative regulation of protein depolymerization (GO:1901880)	23	0	.06	-	 < 0.01	1.00E00
mitotic DNA replication (GO:1902969)	9	0	.02	-	 < 0.01	1.00E00
cellular response to peptide hormone stimulus (GO:0071375)	25	0	.07	-	 < 0.01	1.00E00
organic acid transport (GO:0015849)	98	0	.26	-	 < 0.01	1.00E00
proton transmembrane transport (GO:1902600)	13	0	.03	-	 < 0.01	1.00E00
membrane protein ectodomain proteolysis (GO:0006509)	9	0	.02	-	 < 0.01	1.00E00
cell fate commitment (GO:0045165)	58	0	.15	-	 < 0.01	1.00E00
lipid transport (GO:0006869)	80	0	.21	-	 < 0.01	1.00E00
axonemal dynein complex assembly (GO:0070286)	11	0	.03	-	 < 0.01	1.00E00
regulation of protein depolymerization (GO:1901879)	28	0	.07	-	 < 0.01	1.00E00
amino acid transport (GO:0006865)	57	0	.15	-	 < 0.01	1.00E00
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	18	0	.05	-	 < 0.01	1.00E00
receptor internalization (GO:0031623)	12	0	.03	-	 < 0.01	1.00E00
negative regulation of double-strand break repair via homologous recombination (GO:2000042)	5	0	.01	-	 < 0.01	1.00E00
protein sumoylation (GO:0016925)	11	0	.03	-	 < 0.01	1.00E00
cellular response to growth factor stimulus (GO:0071363)	79	0	.21	-	 < 0.01	1.00E00
peptide transport (GO:0015833)	5	0	.01	-	 < 0.01	1.00E00
oligopeptide transport (GO:0006857)	2	0	.01	-	 < 0.01	1.00E00
tissue remodeling (GO:0048771)	1	0	.00	-	 < 0.01	1.00E00
cell-cell signaling by wnt (GO:0198738)	59	0	.15	-	 < 0.01	1.00E00
establishment or maintenance of apical/basal cell polarity (GO:0035088)	16	0	.04	-	 < 0.01	1.00E00
regulation of B cell proliferation (GO:0030888)	3	0	.01	-	 < 0.01	1.00E00
regulation of centriole replication (GO:0046599)	4	0	.01	-	 < 0.01	1.00E00
intracellular receptor signaling pathway (GO:0030522)	13	0	.03	-	 < 0.01	1.00E00
axoneme assembly (GO:0035082)	15	0	.04	-	 < 0.01	1.00E00
cellular response to tumor necrosis factor (GO:0071356)	7	0	.02	-	 < 0.01	1.00E00
homologous chromosome segregation (GO:0045143)	7	0	.02	-	 < 0.01	1.00E00
mesenchymal cell differentiation (GO:0048762)	31	0	.08	-	 < 0.01	1.00E00
leucine transport (GO:0015820)	1	0	.00	-	 < 0.01	1.00E00
regulation of multicellular organismal development (GO:2000026)	91	0	.24	-	 < 0.01	1.00E00
tricarboxylic acid transport (GO:0006842)	4	0	.01	-	 < 0.01	1.00E00
regulation of system process (GO:0044057)	37	0	.10	-	 < 0.01	1.00E00
neuron projection guidance (GO:0097485)	101	0	.26	-	 < 0.01	1.00E00
intracellular steroid hormone receptor signaling pathway (GO:0030518)	2	0	.01	-	 < 0.01	1.00E00
negative regulation of BMP signaling pathway (GO:0030514)	21	0	.05	-	 < 0.01	1.00E00
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	19	0	.05	-	 < 0.01	1.00E00
regulation of BMP signaling pathway (GO:0030510)	27	0	.07	-	 < 0.01	1.00E00
cellular response to cytokine stimulus (GO:0071345)	45	0	.12	-	 < 0.01	1.00E00
regulation of lipase activity (GO:0060191)	1	0	.00	-	 < 0.01	1.00E00
glycine transport (GO:0015816)	3	0	.01	-	 < 0.01	1.00E00
mitochondrial transport (GO:0006839)	43	0	.11	-	 < 0.01	1.00E00
meiotic chromosome segregation (GO:0045132)	11	0	.03	-	 < 0.01	1.00E00
aspartate transmembrane transport (GO:0015810)	9	0	.02	-	 < 0.01	1.00E00
inner dynein arm assembly (GO:0036159)	4	0	.01	-	 < 0.01	1.00E00
neurotransmitter transport (GO:0006836)	36	0	.09	-	 < 0.01	1.00E00
outer dynein arm assembly (GO:0036158)	4	0	.01	-	 < 0.01	1.00E00
dicarboxylic acid transport (GO:0006835)	16	0	.04	-	 < 0.01	1.00E00
protein-RNA complex assembly (GO:0022618)	67	0	.17	-	 < 0.01	1.00E00
BMP signaling pathway (GO:0030509)	14	0	.04	-	 < 0.01	1.00E00
glucan metabolic process (GO:0044042)	6	0	.02	-	 < 0.01	1.00E00
ribonucleoprotein complex biogenesis (GO:0022613)	167	0	.44	-	 < 0.01	1.00E00
cortical actin cytoskeleton organization (GO:0030866)	13	0	.03	-	 < 0.01	1.00E00
cortical cytoskeleton organization (GO:0030865)	20	0	.05	-	 < 0.01	1.00E00
signal release from synapse (GO:0099643)	33	0	.09	-	 < 0.01	1.00E00
L-amino acid transport (GO:0015807)	16	0	.04	-	 < 0.01	1.00E00
protein localization to extracellular region (GO:0071692)	19	0	.05	-	 < 0.01	1.00E00
neutral amino acid transport (GO:0015804)	20	0	.05	-	 < 0.01	1.00E00
branched-chain amino acid transport (GO:0015803)	1	0	.00	-	 < 0.01	1.00E00
regulation of bone resorption (GO:0045124)	3	0	.01	-	 < 0.01	1.00E00
basic amino acid transport (GO:0015802)	2	0	.01	-	 < 0.01	1.00E00
acidic amino acid transport (GO:0015800)	6	0	.02	-	 < 0.01	1.00E00
iron ion transport (GO:0006826)	15	0	.04	-	 < 0.01	1.00E00
chloride transport (GO:0006821)	37	0	.10	-	 < 0.01	1.00E00
monoatomic anion transport (GO:0006820)	44	0	.11	-	 < 0.01	1.00E00
regulation of anatomical structure morphogenesis (GO:0022603)	78	0	.20	-	 < 0.01	1.00E00
regulation of epithelial cell differentiation (GO:0030856)	7	0	.02	-	 < 0.01	1.00E00
epithelial cell differentiation (GO:0030855)	18	0	.05	-	 < 0.01	1.00E00
glial cell differentiation (GO:0010001)	14	0	.04	-	 < 0.01	1.00E00
cardiac muscle tissue development (GO:0048738)	14	0	.04	-	 < 0.01	1.00E00
defense response to other organism (GO:0098542)	33	0	.09	-	 < 0.01	1.00E00
phosphate ion transport (GO:0006817)	9	0	.02	-	 < 0.01	1.00E00
calcium ion transport (GO:0006816)	71	0	.19	-	 < 0.01	1.00E00
sodium ion transport (GO:0006814)	51	0	.13	-	 < 0.01	1.00E00
potassium ion transport (GO:0006813)	92	0	.24	-	 < 0.01	1.00E00
monoatomic cation transport (GO:0006812)	254	0	.66	-	 < 0.01	1.00E00
striated muscle tissue development (GO:0014706)	14	0	.04	-	 < 0.01	1.00E00
monoatomic ion transport (GO:0006811)	310	0	.81	-	 < 0.01	1.00E00
protein localization to cytoskeleton (GO:0044380)	9	0	.02	-	 < 0.01	1.00E00
