PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(433)	(expected)	(over/under)	(fold Enrichment)	P-value
Golgi to endosome transport (GO:0006895)	1	0	.04	-	 < 0.01	1.00E00
aspartate metabolic process (GO:0006531)	1	0	.04	-	 < 0.01	1.00E00
intra-Golgi vesicle-mediated transport (GO:0006891)	20	0	.73	-	 < 0.01	1.00E00
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	18	0	.66	-	 < 0.01	1.00E00
cytoplasmic translational initiation (GO:0002183)	9	0	.33	-	 < 0.01	1.00E00
cytoplasmic translation (GO:0002181)	28	0	1.02	-	 < 0.01	6.25E-01
cellular response to lipid (GO:0071396)	23	0	.84	-	 < 0.01	1.00E00
behavior (GO:0007610)	7	0	.25	-	 < 0.01	1.00E00
arginine metabolic process (GO:0006525)	11	0	.40	-	 < 0.01	1.00E00
regulation of protein stability (GO:0031647)	15	0	.55	-	 < 0.01	1.00E00
regulation of pH (GO:0006885)	27	0	.98	-	 < 0.01	6.25E-01
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	15	0	.55	-	 < 0.01	1.00E00
regulation of hemopoiesis (GO:1903706)	7	0	.25	-	 < 0.01	1.00E00
sensory perception of chemical stimulus (GO:0007606)	4	0	.15	-	 < 0.01	1.00E00
sensory perception of sound (GO:0007605)	11	0	.40	-	 < 0.01	1.00E00
cellular response to steroid hormone stimulus (GO:0071383)	6	0	.22	-	 < 0.01	1.00E00
visual perception (GO:0007601)	20	0	.73	-	 < 0.01	1.00E00
mitotic DNA replication initiation (GO:1902975)	6	0	.22	-	 < 0.01	1.00E00
intracellular iron ion homeostasis (GO:0006879)	5	0	.18	-	 < 0.01	1.00E00
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	5	0	.18	-	 < 0.01	1.00E00
regulation of cell junction assembly (GO:1901888)	15	0	.55	-	 < 0.01	1.00E00
protein monoubiquitination (GO:0006513)	5	0	.18	-	 < 0.01	1.00E00
regulation of membrane depolarization (GO:0003254)	5	0	.18	-	 < 0.01	1.00E00
positive regulation of cellular component biogenesis (GO:0044089)	43	0	1.57	-	 < 0.01	4.08E-01
mitotic DNA replication (GO:1902969)	9	0	.33	-	 < 0.01	1.00E00
cellular response to peptide hormone stimulus (GO:0071375)	25	0	.91	-	 < 0.01	1.00E00
proton transmembrane transport (GO:1902600)	13	0	.47	-	 < 0.01	1.00E00
membrane protein ectodomain proteolysis (GO:0006509)	9	0	.33	-	 < 0.01	1.00E00
cell fate commitment (GO:0045165)	58	0	2.11	-	 < 0.01	2.76E-01
GPI anchor biosynthetic process (GO:0006506)	16	0	.58	-	 < 0.01	1.00E00
axonemal dynein complex assembly (GO:0070286)	11	0	.40	-	 < 0.01	1.00E00
GPI anchor metabolic process (GO:0006505)	17	0	.62	-	 < 0.01	1.00E00
receptor internalization (GO:0031623)	12	0	.44	-	 < 0.01	1.00E00
negative regulation of double-strand break repair via homologous recombination (GO:2000042)	5	0	.18	-	 < 0.01	1.00E00
protein sumoylation (GO:0016925)	11	0	.40	-	 < 0.01	1.00E00
peptide transport (GO:0015833)	5	0	.18	-	 < 0.01	1.00E00
oligopeptide transport (GO:0006857)	2	0	.07	-	 < 0.01	1.00E00
tissue remodeling (GO:0048771)	1	0	.04	-	 < 0.01	1.00E00
regulation of B cell proliferation (GO:0030888)	3	0	.11	-	 < 0.01	1.00E00
regulation of centriole replication (GO:0046599)	4	0	.15	-	 < 0.01	1.00E00
intracellular receptor signaling pathway (GO:0030522)	13	0	.47	-	 < 0.01	1.00E00
cellular response to tumor necrosis factor (GO:0071356)	7	0	.25	-	 < 0.01	1.00E00
homologous chromosome segregation (GO:0045143)	7	0	.25	-	 < 0.01	1.00E00
mesenchymal cell differentiation (GO:0048762)	31	0	1.13	-	 < 0.01	6.29E-01
leucine transport (GO:0015820)	1	0	.04	-	 < 0.01	1.00E00
regulation of system process (GO:0044057)	37	0	1.35	-	 < 0.01	6.45E-01
intracellular steroid hormone receptor signaling pathway (GO:0030518)	2	0	.07	-	 < 0.01	1.00E00
negative regulation of BMP signaling pathway (GO:0030514)	21	0	.76	-	 < 0.01	1.00E00
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	19	0	.69	-	 < 0.01	1.00E00
regulation of BMP signaling pathway (GO:0030510)	27	0	.98	-	 < 0.01	6.25E-01
regulation of lipase activity (GO:0060191)	1	0	.04	-	 < 0.01	1.00E00
glycine transport (GO:0015816)	3	0	.11	-	 < 0.01	1.00E00
meiotic chromosome segregation (GO:0045132)	11	0	.40	-	 < 0.01	1.00E00
inner dynein arm assembly (GO:0036159)	4	0	.15	-	 < 0.01	1.00E00
outer dynein arm assembly (GO:0036158)	4	0	.15	-	 < 0.01	1.00E00
BMP signaling pathway (GO:0030509)	14	0	.51	-	 < 0.01	1.00E00
glucan metabolic process (GO:0044042)	6	0	.22	-	 < 0.01	1.00E00
cortical actin cytoskeleton organization (GO:0030866)	13	0	.47	-	 < 0.01	1.00E00
protein localization to extracellular region (GO:0071692)	19	0	.69	-	 < 0.01	1.00E00
neutral amino acid transport (GO:0015804)	20	0	.73	-	 < 0.01	1.00E00
branched-chain amino acid transport (GO:0015803)	1	0	.04	-	 < 0.01	1.00E00
regulation of bone resorption (GO:0045124)	3	0	.11	-	 < 0.01	1.00E00
basic amino acid transport (GO:0015802)	2	0	.07	-	 < 0.01	1.00E00
iron ion transport (GO:0006826)	15	0	.55	-	 < 0.01	1.00E00
regulation of epithelial cell differentiation (GO:0030856)	7	0	.25	-	 < 0.01	1.00E00
epithelial cell differentiation (GO:0030855)	18	0	.66	-	 < 0.01	1.00E00
glial cell differentiation (GO:0010001)	14	0	.51	-	 < 0.01	1.00E00
cardiac muscle tissue development (GO:0048738)	14	0	.51	-	 < 0.01	1.00E00
phosphate ion transport (GO:0006817)	9	0	.33	-	 < 0.01	1.00E00
striated muscle tissue development (GO:0014706)	14	0	.51	-	 < 0.01	1.00E00
protein localization to cytoskeleton (GO:0044380)	9	0	.33	-	 < 0.01	1.00E00
