PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(276)	(expected)	(over/under)	(fold Enrichment)	P-value
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	16	0	.37	-	 < 0.01	1.00E00
glutamate metabolic process (GO:0006536)	2	0	.05	-	 < 0.01	1.00E00
Golgi to endosome transport (GO:0006895)	1	0	.02	-	 < 0.01	1.00E00
Golgi to plasma membrane transport (GO:0006893)	23	0	.53	-	 < 0.01	1.00E00
aspartate metabolic process (GO:0006531)	1	0	.02	-	 < 0.01	1.00E00
intra-Golgi vesicle-mediated transport (GO:0006891)	20	0	.46	-	 < 0.01	1.00E00
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	18	0	.42	-	 < 0.01	1.00E00
glycosaminoglycan metabolic process (GO:0030203)	21	0	.49	-	 < 0.01	1.00E00
cytoplasmic translational initiation (GO:0002183)	9	0	.21	-	 < 0.01	1.00E00
cytoplasmic translation (GO:0002181)	28	0	.65	-	 < 0.01	1.00E00
cellular response to lipid (GO:0071396)	23	0	.53	-	 < 0.01	1.00E00
behavior (GO:0007610)	7	0	.16	-	 < 0.01	1.00E00
exocytosis (GO:0006887)	79	0	1.83	-	 < 0.01	2.67E-01
arginine metabolic process (GO:0006525)	11	0	.26	-	 < 0.01	1.00E00
regulation of pH (GO:0006885)	27	0	.63	-	 < 0.01	1.00E00
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	15	0	.35	-	 < 0.01	1.00E00
sensory perception of chemical stimulus (GO:0007606)	4	0	.09	-	 < 0.01	1.00E00
sensory perception of sound (GO:0007605)	11	0	.26	-	 < 0.01	1.00E00
cellular response to steroid hormone stimulus (GO:0071383)	6	0	.14	-	 < 0.01	1.00E00
visual perception (GO:0007601)	20	0	.46	-	 < 0.01	1.00E00
mitotic DNA replication initiation (GO:1902975)	6	0	.14	-	 < 0.01	1.00E00
sensory perception (GO:0007600)	41	0	.95	-	 < 0.01	1.00E00
intracellular iron ion homeostasis (GO:0006879)	5	0	.12	-	 < 0.01	1.00E00
zymogen activation (GO:0031638)	6	0	.14	-	 < 0.01	1.00E00
regulation of cell junction assembly (GO:1901888)	15	0	.35	-	 < 0.01	1.00E00
protein monoubiquitination (GO:0006513)	5	0	.12	-	 < 0.01	1.00E00
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	23	0	.53	-	 < 0.01	1.00E00
intracellular calcium ion homeostasis (GO:0006874)	53	0	1.23	-	 < 0.01	6.37E-01
regulation of membrane depolarization (GO:0003254)	5	0	.12	-	 < 0.01	1.00E00
intracellular monoatomic ion homeostasis (GO:0006873)	106	0	2.46	-	 < 0.01	1.82E-01
negative regulation of protein depolymerization (GO:1901880)	23	0	.53	-	 < 0.01	1.00E00
mitotic DNA replication (GO:1902969)	9	0	.21	-	 < 0.01	1.00E00
cellular response to peptide hormone stimulus (GO:0071375)	25	0	.58	-	 < 0.01	1.00E00
proton transmembrane transport (GO:1902600)	13	0	.30	-	 < 0.01	1.00E00
cell fate commitment (GO:0045165)	58	0	1.35	-	 < 0.01	6.46E-01
axonemal dynein complex assembly (GO:0070286)	11	0	.26	-	 < 0.01	1.00E00
regulation of protein depolymerization (GO:1901879)	28	0	.65	-	 < 0.01	1.00E00
negative regulation of double-strand break repair via homologous recombination (GO:2000042)	5	0	.12	-	 < 0.01	1.00E00
protein sumoylation (GO:0016925)	11	0	.26	-	 < 0.01	1.00E00
cellular response to growth factor stimulus (GO:0071363)	79	0	1.83	-	 < 0.01	2.67E-01
peptide transport (GO:0015833)	5	0	.12	-	 < 0.01	1.00E00
oligopeptide transport (GO:0006857)	2	0	.05	-	 < 0.01	1.00E00
tissue remodeling (GO:0048771)	1	0	.02	-	 < 0.01	1.00E00
establishment or maintenance of apical/basal cell polarity (GO:0035088)	16	0	.37	-	 < 0.01	1.00E00
regulation of B cell proliferation (GO:0030888)	3	0	.07	-	 < 0.01	1.00E00
regulation of centriole replication (GO:0046599)	4	0	.09	-	 < 0.01	1.00E00
axoneme assembly (GO:0035082)	15	0	.35	-	 < 0.01	1.00E00
cellular response to tumor necrosis factor (GO:0071356)	7	0	.16	-	 < 0.01	1.00E00
homologous chromosome segregation (GO:0045143)	7	0	.16	-	 < 0.01	1.00E00
leucine transport (GO:0015820)	1	0	.02	-	 < 0.01	1.00E00
tricarboxylic acid transport (GO:0006842)	4	0	.09	-	 < 0.01	1.00E00
regulation of system process (GO:0044057)	37	0	.86	-	 < 0.01	1.00E00
intracellular steroid hormone receptor signaling pathway (GO:0030518)	2	0	.05	-	 < 0.01	1.00E00
cellular response to cytokine stimulus (GO:0071345)	45	0	1.04	-	 < 0.01	6.28E-01
regulation of lipase activity (GO:0060191)	1	0	.02	-	 < 0.01	1.00E00
glycine transport (GO:0015816)	3	0	.07	-	 < 0.01	1.00E00
meiotic chromosome segregation (GO:0045132)	11	0	.26	-	 < 0.01	1.00E00
inner dynein arm assembly (GO:0036159)	4	0	.09	-	 < 0.01	1.00E00
neurotransmitter transport (GO:0006836)	36	0	.84	-	 < 0.01	1.00E00
outer dynein arm assembly (GO:0036158)	4	0	.09	-	 < 0.01	1.00E00
water transport (GO:0006833)	7	0	.16	-	 < 0.01	1.00E00
BMP signaling pathway (GO:0030509)	14	0	.32	-	 < 0.01	1.00E00
glucan metabolic process (GO:0044042)	6	0	.14	-	 < 0.01	1.00E00
cortical actin cytoskeleton organization (GO:0030866)	13	0	.30	-	 < 0.01	1.00E00
cortical cytoskeleton organization (GO:0030865)	20	0	.46	-	 < 0.01	1.00E00
signal release from synapse (GO:0099643)	33	0	.77	-	 < 0.01	1.00E00
peptidyl-amino acid modification (GO:0018193)	189	0	4.39	-	 < 0.01	2.42E-02
branched-chain amino acid transport (GO:0015803)	1	0	.02	-	 < 0.01	1.00E00
basic amino acid transport (GO:0015802)	2	0	.05	-	 < 0.01	1.00E00
iron ion transport (GO:0006826)	15	0	.35	-	 < 0.01	1.00E00
regulation of epithelial cell differentiation (GO:0030856)	7	0	.16	-	 < 0.01	1.00E00
epithelial cell differentiation (GO:0030855)	18	0	.42	-	 < 0.01	1.00E00
glial cell differentiation (GO:0010001)	14	0	.32	-	 < 0.01	1.00E00
cardiac muscle tissue development (GO:0048738)	14	0	.32	-	 < 0.01	1.00E00
protein neddylation (GO:0045116)	7	0	.16	-	 < 0.01	1.00E00
phosphate ion transport (GO:0006817)	9	0	.21	-	 < 0.01	1.00E00
calcium ion transport (GO:0006816)	71	0	1.65	-	 < 0.01	4.16E-01
sodium ion transport (GO:0006814)	51	0	1.18	-	 < 0.01	6.34E-01
striated muscle tissue development (GO:0014706)	14	0	.32	-	 < 0.01	1.00E00
protein localization to cytoskeleton (GO:0044380)	9	0	.21	-	 < 0.01	1.00E00
