PANTHER GO-Slim Biological Process	background_genes.thetas.txt - REFLIST (11894)	(417)	(expected)	(over/under)	(fold Enrichment)	P-value
cellular response to extracellular stimulus (GO:0031668)	25	0	.88	-	 < 0.01	1.00E00
response to nutrient levels (GO:0031667)	35	0	1.23	-	 < 0.01	6.35E-01
amelogenesis (GO:0097186)	2	0	.07	-	 < 0.01	1.00E00
lipopolysaccharide-mediated signaling pathway (GO:0031663)	1	0	.04	-	 < 0.01	1.00E00
regulation of protein secretion (GO:0050708)	7	0	.25	-	 < 0.01	1.00E00
erythrocyte differentiation (GO:0030218)	5	0	.18	-	 < 0.01	1.00E00
T cell differentiation (GO:0030217)	6	0	.21	-	 < 0.01	1.00E00
Rac protein signal transduction (GO:0016601)	3	0	.11	-	 < 0.01	1.00E00
circadian rhythm (GO:0007623)	22	0	.77	-	 < 0.01	1.00E00
receptor-mediated endocytosis (GO:0006898)	28	0	.98	-	 < 0.01	6.25E-01
glutamate metabolic process (GO:0006536)	2	0	.07	-	 < 0.01	1.00E00
Golgi to vacuole transport (GO:0006896)	5	0	.18	-	 < 0.01	1.00E00
Golgi to endosome transport (GO:0006895)	1	0	.04	-	 < 0.01	1.00E00
aspartate metabolic process (GO:0006531)	1	0	.04	-	 < 0.01	1.00E00
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	18	0	.63	-	 < 0.01	1.00E00
behavior (GO:0007610)	7	0	.25	-	 < 0.01	1.00E00
arginine metabolic process (GO:0006525)	11	0	.39	-	 < 0.01	1.00E00
regulation of protein stability (GO:0031647)	15	0	.53	-	 < 0.01	1.00E00
regulation of hemopoiesis (GO:1903706)	7	0	.25	-	 < 0.01	1.00E00
negative regulation of molecular function (GO:0044092)	83	0	2.91	-	 < 0.01	1.22E-01
sensory perception of chemical stimulus (GO:0007606)	4	0	.14	-	 < 0.01	1.00E00
cellular response to steroid hormone stimulus (GO:0071383)	6	0	.21	-	 < 0.01	1.00E00
visual perception (GO:0007601)	20	0	.70	-	 < 0.01	1.00E00
intracellular iron ion homeostasis (GO:0006879)	5	0	.18	-	 < 0.01	1.00E00
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	5	0	.18	-	 < 0.01	1.00E00
zymogen activation (GO:0031638)	6	0	.21	-	 < 0.01	1.00E00
regulation of cell junction assembly (GO:1901888)	15	0	.53	-	 < 0.01	1.00E00
protein monoubiquitination (GO:0006513)	5	0	.18	-	 < 0.01	1.00E00
regulation of membrane depolarization (GO:0003254)	5	0	.18	-	 < 0.01	1.00E00
negative regulation of protein depolymerization (GO:1901880)	23	0	.81	-	 < 0.01	1.00E00
proton transmembrane transport (GO:1902600)	13	0	.46	-	 < 0.01	1.00E00
membrane protein ectodomain proteolysis (GO:0006509)	9	0	.32	-	 < 0.01	1.00E00
axonemal dynein complex assembly (GO:0070286)	11	0	.39	-	 < 0.01	1.00E00
regulation of protein depolymerization (GO:1901879)	28	0	.98	-	 < 0.01	6.25E-01
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	18	0	.63	-	 < 0.01	1.00E00
receptor internalization (GO:0031623)	12	0	.42	-	 < 0.01	1.00E00
negative regulation of double-strand break repair via homologous recombination (GO:2000042)	5	0	.18	-	 < 0.01	1.00E00
oligopeptide transport (GO:0006857)	2	0	.07	-	 < 0.01	1.00E00
tissue remodeling (GO:0048771)	1	0	.04	-	 < 0.01	1.00E00
regulation of B cell proliferation (GO:0030888)	3	0	.11	-	 < 0.01	1.00E00
regulation of centriole replication (GO:0046599)	4	0	.14	-	 < 0.01	1.00E00
axoneme assembly (GO:0035082)	15	0	.53	-	 < 0.01	1.00E00
cellular response to tumor necrosis factor (GO:0071356)	7	0	.25	-	 < 0.01	1.00E00
leucine transport (GO:0015820)	1	0	.04	-	 < 0.01	1.00E00
tricarboxylic acid transport (GO:0006842)	4	0	.14	-	 < 0.01	1.00E00
intracellular steroid hormone receptor signaling pathway (GO:0030518)	2	0	.07	-	 < 0.01	1.00E00
negative regulation of BMP signaling pathway (GO:0030514)	21	0	.74	-	 < 0.01	1.00E00
regulation of lipase activity (GO:0060191)	1	0	.04	-	 < 0.01	1.00E00
glycine transport (GO:0015816)	3	0	.11	-	 < 0.01	1.00E00
aspartate transmembrane transport (GO:0015810)	9	0	.32	-	 < 0.01	1.00E00
inner dynein arm assembly (GO:0036159)	4	0	.14	-	 < 0.01	1.00E00
neurotransmitter transport (GO:0006836)	36	0	1.26	-	 < 0.01	6.38E-01
outer dynein arm assembly (GO:0036158)	4	0	.14	-	 < 0.01	1.00E00
dicarboxylic acid transport (GO:0006835)	16	0	.56	-	 < 0.01	1.00E00
water transport (GO:0006833)	7	0	.25	-	 < 0.01	1.00E00
BMP signaling pathway (GO:0030509)	14	0	.49	-	 < 0.01	1.00E00
glucan metabolic process (GO:0044042)	6	0	.21	-	 < 0.01	1.00E00
signal release from synapse (GO:0099643)	33	0	1.16	-	 < 0.01	6.30E-01
L-amino acid transport (GO:0015807)	16	0	.56	-	 < 0.01	1.00E00
branched-chain amino acid transport (GO:0015803)	1	0	.04	-	 < 0.01	1.00E00
regulation of bone resorption (GO:0045124)	3	0	.11	-	 < 0.01	1.00E00
basic amino acid transport (GO:0015802)	2	0	.07	-	 < 0.01	1.00E00
acidic amino acid transport (GO:0015800)	6	0	.21	-	 < 0.01	1.00E00
regulation of epithelial cell differentiation (GO:0030856)	7	0	.25	-	 < 0.01	1.00E00
epithelial cell differentiation (GO:0030855)	18	0	.63	-	 < 0.01	1.00E00
glial cell differentiation (GO:0010001)	14	0	.49	-	 < 0.01	1.00E00
protein neddylation (GO:0045116)	7	0	.25	-	 < 0.01	1.00E00
phosphate ion transport (GO:0006817)	9	0	.32	-	 < 0.01	1.00E00
protein localization to cytoskeleton (GO:0044380)	9	0	.32	-	 < 0.01	1.00E00
