PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(327)	(expected)	(over/under)	(fold Enrichment)	P-value
Golgi to vacuole transport (GO:0006896)	5	0	.14	-	 < 0.01	1.00E00
Golgi to endosome transport (GO:0006895)	1	0	.03	-	 < 0.01	1.00E00
Golgi to plasma membrane transport (GO:0006893)	23	0	.63	-	 < 0.01	1.00E00
aspartate metabolic process (GO:0006531)	1	0	.03	-	 < 0.01	1.00E00
post-Golgi vesicle-mediated transport (GO:0006892)	34	0	.94	-	 < 0.01	1.00E00
intra-Golgi vesicle-mediated transport (GO:0006891)	20	0	.55	-	 < 0.01	1.00E00
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	18	0	.50	-	 < 0.01	1.00E00
glycosaminoglycan metabolic process (GO:0030203)	21	0	.58	-	 < 0.01	1.00E00
cytoplasmic translational initiation (GO:0002183)	9	0	.25	-	 < 0.01	1.00E00
cytoplasmic translation (GO:0002181)	28	0	.77	-	 < 0.01	1.00E00
cellular response to lipid (GO:0071396)	23	0	.63	-	 < 0.01	1.00E00
behavior (GO:0007610)	7	0	.19	-	 < 0.01	1.00E00
arginine metabolic process (GO:0006525)	11	0	.30	-	 < 0.01	1.00E00
regulation of protein stability (GO:0031647)	15	0	.41	-	 < 0.01	1.00E00
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	15	0	.41	-	 < 0.01	1.00E00
regulation of hemopoiesis (GO:1903706)	7	0	.19	-	 < 0.01	1.00E00
sensory perception of chemical stimulus (GO:0007606)	4	0	.11	-	 < 0.01	1.00E00
sensory perception of sound (GO:0007605)	11	0	.30	-	 < 0.01	1.00E00
cellular response to steroid hormone stimulus (GO:0071383)	6	0	.17	-	 < 0.01	1.00E00
visual perception (GO:0007601)	20	0	.55	-	 < 0.01	1.00E00
mitotic DNA replication initiation (GO:1902975)	6	0	.17	-	 < 0.01	1.00E00
sensory perception (GO:0007600)	41	0	1.13	-	 < 0.01	6.30E-01
intracellular iron ion homeostasis (GO:0006879)	5	0	.14	-	 < 0.01	1.00E00
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	5	0	.14	-	 < 0.01	1.00E00
zymogen activation (GO:0031638)	6	0	.17	-	 < 0.01	1.00E00
regulation of cell junction assembly (GO:1901888)	15	0	.41	-	 < 0.01	1.00E00
protein monoubiquitination (GO:0006513)	5	0	.14	-	 < 0.01	1.00E00
regulation of membrane depolarization (GO:0003254)	5	0	.14	-	 < 0.01	1.00E00
positive regulation of cellular component biogenesis (GO:0044089)	43	0	1.18	-	 < 0.01	6.33E-01
negative regulation of protein depolymerization (GO:1901880)	23	0	.63	-	 < 0.01	1.00E00
mitotic DNA replication (GO:1902969)	9	0	.25	-	 < 0.01	1.00E00
cellular response to peptide hormone stimulus (GO:0071375)	25	0	.69	-	 < 0.01	1.00E00
proton transmembrane transport (GO:1902600)	13	0	.36	-	 < 0.01	1.00E00
membrane protein ectodomain proteolysis (GO:0006509)	9	0	.25	-	 < 0.01	1.00E00
regulation of protein depolymerization (GO:1901879)	28	0	.77	-	 < 0.01	1.00E00
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	18	0	.50	-	 < 0.01	1.00E00
receptor internalization (GO:0031623)	12	0	.33	-	 < 0.01	1.00E00
peptide transport (GO:0015833)	5	0	.14	-	 < 0.01	1.00E00
oligopeptide transport (GO:0006857)	2	0	.06	-	 < 0.01	1.00E00
tissue remodeling (GO:0048771)	1	0	.03	-	 < 0.01	1.00E00
regulation of B cell proliferation (GO:0030888)	3	0	.08	-	 < 0.01	1.00E00
regulation of centriole replication (GO:0046599)	4	0	.11	-	 < 0.01	1.00E00
intracellular receptor signaling pathway (GO:0030522)	13	0	.36	-	 < 0.01	1.00E00
cellular response to tumor necrosis factor (GO:0071356)	7	0	.19	-	 < 0.01	1.00E00
homologous chromosome segregation (GO:0045143)	7	0	.19	-	 < 0.01	1.00E00
leucine transport (GO:0015820)	1	0	.03	-	 < 0.01	1.00E00
tricarboxylic acid transport (GO:0006842)	4	0	.11	-	 < 0.01	1.00E00
regulation of system process (GO:0044057)	37	0	1.02	-	 < 0.01	6.27E-01
intracellular steroid hormone receptor signaling pathway (GO:0030518)	2	0	.06	-	 < 0.01	1.00E00
negative regulation of BMP signaling pathway (GO:0030514)	21	0	.58	-	 < 0.01	1.00E00
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	19	0	.52	-	 < 0.01	1.00E00
regulation of BMP signaling pathway (GO:0030510)	27	0	.74	-	 < 0.01	1.00E00
regulation of lipase activity (GO:0060191)	1	0	.03	-	 < 0.01	1.00E00
glycine transport (GO:0015816)	3	0	.08	-	 < 0.01	1.00E00
meiotic chromosome segregation (GO:0045132)	11	0	.30	-	 < 0.01	1.00E00
inner dynein arm assembly (GO:0036159)	4	0	.11	-	 < 0.01	1.00E00
protein-RNA complex assembly (GO:0022618)	67	0	1.84	-	 < 0.01	2.66E-01
glucan metabolic process (GO:0044042)	6	0	.17	-	 < 0.01	1.00E00
ribonucleoprotein complex biogenesis (GO:0022613)	167	0	4.59	-	 < 0.01	1.56E-02
cortical actin cytoskeleton organization (GO:0030866)	13	0	.36	-	 < 0.01	1.00E00
cortical cytoskeleton organization (GO:0030865)	20	0	.55	-	 < 0.01	1.00E00
protein localization to extracellular region (GO:0071692)	19	0	.52	-	 < 0.01	1.00E00
neutral amino acid transport (GO:0015804)	20	0	.55	-	 < 0.01	1.00E00
branched-chain amino acid transport (GO:0015803)	1	0	.03	-	 < 0.01	1.00E00
regulation of bone resorption (GO:0045124)	3	0	.08	-	 < 0.01	1.00E00
basic amino acid transport (GO:0015802)	2	0	.06	-	 < 0.01	1.00E00
iron ion transport (GO:0006826)	15	0	.41	-	 < 0.01	1.00E00
regulation of epithelial cell differentiation (GO:0030856)	7	0	.19	-	 < 0.01	1.00E00
epithelial cell differentiation (GO:0030855)	18	0	.50	-	 < 0.01	1.00E00
cardiac muscle tissue development (GO:0048738)	14	0	.39	-	 < 0.01	1.00E00
phosphate ion transport (GO:0006817)	9	0	.25	-	 < 0.01	1.00E00
striated muscle tissue development (GO:0014706)	14	0	.39	-	 < 0.01	1.00E00
protein localization to cytoskeleton (GO:0044380)	9	0	.25	-	 < 0.01	1.00E00
