




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	for.delta_af.windows.1percent.genenames.txt (Gallus gallus)
Reference List:	background_genes.fst.txt (Gallus gallus)
Test Type:	FISHER
Correction:	NONE
PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	for.delta_af.windows.1percent.genenames.txt (262)	for.delta_af.windows.1percent.genenames.txt (expected)	for.delta_af.windows.1percent.genenames.txt (over/under)	for.delta_af.windows.1percent.genenames.txt (fold Enrichment)	for.delta_af.windows.1percent.genenames.txt (raw P-value)
cellular modified amino acid metabolic process (GO:0006575)	47	0	1.04	-	 < 0.01	6.28E-01
negative regulation of protein-containing complex assembly (GO:0031333)	23	0	.51	-	 < 0.01	1.00E00
regulation of non-canonical NF-kappaB signal transduction (GO:1901222)	2	0	.04	-	 < 0.01	1.00E00
tyrosine metabolic process (GO:0006570)	6	0	.13	-	 < 0.01	1.00E00
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	10	0	.22	-	 < 0.01	1.00E00
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	14	0	.31	-	 < 0.01	1.00E00
non-canonical NF-kappaB signal transduction (GO:0038061)	2	0	.04	-	 < 0.01	1.00E00
carbohydrate homeostasis (GO:0033500)	9	0	.20	-	 < 0.01	1.00E00
lysosome localization (GO:0032418)	5	0	.11	-	 < 0.01	1.00E00
synaptic vesicle transport (GO:0048489)	9	0	.20	-	 < 0.01	1.00E00
regulation of monoatomic ion transmembrane transporter activity (GO:0032412)	40	0	.88	-	 < 0.01	1.00E00
positive regulation of transporter activity (GO:0032411)	12	0	.26	-	 < 0.01	1.00E00
pyrimidine nucleobase catabolic process (GO:0006208)	5	0	.11	-	 < 0.01	1.00E00
pyrimidine nucleobase metabolic process (GO:0006206)	9	0	.20	-	 < 0.01	1.00E00
negative regulation of inflammatory response (GO:0050728)	8	0	.18	-	 < 0.01	1.00E00
regulation of inflammatory response (GO:0050727)	9	0	.20	-	 < 0.01	1.00E00
myofibril assembly (GO:0030239)	25	0	.55	-	 < 0.01	1.00E00
actomyosin contractile ring assembly (GO:0000915)	4	0	.09	-	 < 0.01	1.00E00
leukocyte chemotaxis (GO:0030595)	3	0	.07	-	 < 0.01	1.00E00
neutrophil chemotaxis (GO:0030593)	3	0	.07	-	 < 0.01	1.00E00
regulation of transporter activity (GO:0032409)	42	0	.93	-	 < 0.01	1.00E00
oogenesis (GO:0048477)	7	0	.15	-	 < 0.01	1.00E00
secondary alcohol biosynthetic process (GO:1902653)	7	0	.15	-	 < 0.01	1.00E00
secondary alcohol metabolic process (GO:1902652)	17	0	.37	-	 < 0.01	1.00E00
execution phase of apoptosis (GO:0097194)	8	0	.18	-	 < 0.01	1.00E00
extrinsic apoptotic signaling pathway (GO:0097191)	12	0	.26	-	 < 0.01	1.00E00
positive regulation of protein secretion (GO:0050714)	1	0	.02	-	 < 0.01	1.00E00
poly(A)+ mRNA export from nucleus (GO:0016973)	11	0	.24	-	 < 0.01	1.00E00
feeding behavior (GO:0007631)	4	0	.09	-	 < 0.01	1.00E00
amelogenesis (GO:0097186)	2	0	.04	-	 < 0.01	1.00E00
lipopolysaccharide-mediated signaling pathway (GO:0031663)	1	0	.02	-	 < 0.01	1.00E00
regulation of protein secretion (GO:0050708)	7	0	.15	-	 < 0.01	1.00E00
erythrocyte differentiation (GO:0030218)	5	0	.11	-	 < 0.01	1.00E00
T cell differentiation (GO:0030217)	6	0	.13	-	 < 0.01	1.00E00
Rac protein signal transduction (GO:0016601)	3	0	.07	-	 < 0.01	1.00E00
circadian rhythm (GO:0007623)	22	0	.48	-	 < 0.01	1.00E00
receptor-mediated endocytosis (GO:0006898)	28	0	.62	-	 < 0.01	1.00E00
glutamate metabolic process (GO:0006536)	2	0	.04	-	 < 0.01	1.00E00
Golgi to vacuole transport (GO:0006896)	5	0	.11	-	 < 0.01	1.00E00
Golgi to endosome transport (GO:0006895)	1	0	.02	-	 < 0.01	1.00E00
Golgi to plasma membrane transport (GO:0006893)	23	0	.51	-	 < 0.01	1.00E00
aspartate metabolic process (GO:0006531)	1	0	.02	-	 < 0.01	1.00E00
post-Golgi vesicle-mediated transport (GO:0006892)	34	0	.75	-	 < 0.01	1.00E00
intra-Golgi vesicle-mediated transport (GO:0006891)	20	0	.44	-	 < 0.01	1.00E00
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	18	0	.40	-	 < 0.01	1.00E00
glycosaminoglycan metabolic process (GO:0030203)	21	0	.46	-	 < 0.01	1.00E00
cytoplasmic translational initiation (GO:0002183)	9	0	.20	-	 < 0.01	1.00E00
cytoplasmic translation (GO:0002181)	28	0	.62	-	 < 0.01	1.00E00
cellular response to lipid (GO:0071396)	23	0	.51	-	 < 0.01	1.00E00
behavior (GO:0007610)	7	0	.15	-	 < 0.01	1.00E00
exocytosis (GO:0006887)	79	0	1.74	-	 < 0.01	4.24E-01
arginine metabolic process (GO:0006525)	11	0	.24	-	 < 0.01	1.00E00
regulation of protein stability (GO:0031647)	15	0	.33	-	 < 0.01	1.00E00
regulation of pH (GO:0006885)	27	0	.59	-	 < 0.01	1.00E00
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	15	0	.33	-	 < 0.01	1.00E00
regulation of hemopoiesis (GO:1903706)	7	0	.15	-	 < 0.01	1.00E00
sensory perception of chemical stimulus (GO:0007606)	4	0	.09	-	 < 0.01	1.00E00
sensory perception of sound (GO:0007605)	11	0	.24	-	 < 0.01	1.00E00
cellular response to steroid hormone stimulus (GO:0071383)	6	0	.13	-	 < 0.01	1.00E00
visual perception (GO:0007601)	20	0	.44	-	 < 0.01	1.00E00
mitotic DNA replication initiation (GO:1902975)	6	0	.13	-	 < 0.01	1.00E00
sensory perception (GO:0007600)	41	0	.90	-	 < 0.01	1.00E00
intracellular iron ion homeostasis (GO:0006879)	5	0	.11	-	 < 0.01	1.00E00
organic hydroxy compound transport (GO:0015850)	26	0	.57	-	 < 0.01	1.00E00
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	5	0	.11	-	 < 0.01	1.00E00
zymogen activation (GO:0031638)	6	0	.13	-	 < 0.01	1.00E00
regulation of cell junction assembly (GO:1901888)	15	0	.33	-	 < 0.01	1.00E00
protein monoubiquitination (GO:0006513)	5	0	.11	-	 < 0.01	1.00E00
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	23	0	.51	-	 < 0.01	1.00E00
intracellular calcium ion homeostasis (GO:0006874)	53	0	1.17	-	 < 0.01	6.33E-01
regulation of membrane depolarization (GO:0003254)	5	0	.11	-	 < 0.01	1.00E00
intracellular monoatomic ion homeostasis (GO:0006873)	106	0	2.34	-	 < 0.01	1.78E-01
negative regulation of protein depolymerization (GO:1901880)	23	0	.51	-	 < 0.01	1.00E00
mitotic DNA replication (GO:1902969)	9	0	.20	-	 < 0.01	1.00E00
cellular response to peptide hormone stimulus (GO:0071375)	25	0	.55	-	 < 0.01	1.00E00
proton transmembrane transport (GO:1902600)	13	0	.29	-	 < 0.01	1.00E00
cell fate commitment (GO:0045165)	58	0	1.28	-	 < 0.01	6.40E-01
lipid transport (GO:0006869)	80	0	1.76	-	 < 0.01	4.26E-01
regulation of protein depolymerization (GO:1901879)	28	0	.62	-	 < 0.01	1.00E00
receptor internalization (GO:0031623)	12	0	.26	-	 < 0.01	1.00E00
negative regulation of double-strand break repair via homologous recombination (GO:2000042)	5	0	.11	-	 < 0.01	1.00E00
protein sumoylation (GO:0016925)	11	0	.24	-	 < 0.01	1.00E00
peptide transport (GO:0015833)	5	0	.11	-	 < 0.01	1.00E00
oligopeptide transport (GO:0006857)	2	0	.04	-	 < 0.01	1.00E00
tissue remodeling (GO:0048771)	1	0	.02	-	 < 0.01	1.00E00
regulation of B cell proliferation (GO:0030888)	3	0	.07	-	 < 0.01	1.00E00
regulation of centriole replication (GO:0046599)	4	0	.09	-	 < 0.01	1.00E00
intracellular receptor signaling pathway (GO:0030522)	13	0	.29	-	 < 0.01	1.00E00
cellular response to tumor necrosis factor (GO:0071356)	7	0	.15	-	 < 0.01	1.00E00
homologous chromosome segregation (GO:0045143)	7	0	.15	-	 < 0.01	1.00E00
mesenchymal cell differentiation (GO:0048762)	31	0	.68	-	 < 0.01	1.00E00
leucine transport (GO:0015820)	1	0	.02	-	 < 0.01	1.00E00
tricarboxylic acid transport (GO:0006842)	4	0	.09	-	 < 0.01	1.00E00
regulation of system process (GO:0044057)	37	0	.82	-	 < 0.01	1.00E00
intracellular steroid hormone receptor signaling pathway (GO:0030518)	2	0	.04	-	 < 0.01	1.00E00
cellular response to cytokine stimulus (GO:0071345)	45	0	.99	-	 < 0.01	6.27E-01
regulation of lipase activity (GO:0060191)	1	0	.02	-	 < 0.01	1.00E00
glycine transport (GO:0015816)	3	0	.07	-	 < 0.01	1.00E00
meiotic chromosome segregation (GO:0045132)	11	0	.24	-	 < 0.01	1.00E00
inner dynein arm assembly (GO:0036159)	4	0	.09	-	 < 0.01	1.00E00
neurotransmitter transport (GO:0006836)	36	0	.79	-	 < 0.01	1.00E00
water transport (GO:0006833)	7	0	.15	-	 < 0.01	1.00E00
BMP signaling pathway (GO:0030509)	14	0	.31	-	 < 0.01	1.00E00
glucan metabolic process (GO:0044042)	6	0	.13	-	 < 0.01	1.00E00
cortical actin cytoskeleton organization (GO:0030866)	13	0	.29	-	 < 0.01	1.00E00
cortical cytoskeleton organization (GO:0030865)	20	0	.44	-	 < 0.01	1.00E00
signal release from synapse (GO:0099643)	33	0	.73	-	 < 0.01	1.00E00
peptidyl-amino acid modification (GO:0018193)	189	0	4.16	-	 < 0.01	2.34E-02
neutral amino acid transport (GO:0015804)	20	0	.44	-	 < 0.01	1.00E00
branched-chain amino acid transport (GO:0015803)	1	0	.02	-	 < 0.01	1.00E00
regulation of bone resorption (GO:0045124)	3	0	.07	-	 < 0.01	1.00E00
basic amino acid transport (GO:0015802)	2	0	.04	-	 < 0.01	1.00E00
iron ion transport (GO:0006826)	15	0	.33	-	 < 0.01	1.00E00
regulation of epithelial cell differentiation (GO:0030856)	7	0	.15	-	 < 0.01	1.00E00
epithelial cell differentiation (GO:0030855)	18	0	.40	-	 < 0.01	1.00E00
glial cell differentiation (GO:0010001)	14	0	.31	-	 < 0.01	1.00E00
cardiac muscle tissue development (GO:0048738)	14	0	.31	-	 < 0.01	1.00E00
protein neddylation (GO:0045116)	7	0	.15	-	 < 0.01	1.00E00
phosphate ion transport (GO:0006817)	9	0	.20	-	 < 0.01	1.00E00
sodium ion transport (GO:0006814)	51	0	1.12	-	 < 0.01	6.30E-01
striated muscle tissue development (GO:0014706)	14	0	.31	-	 < 0.01	1.00E00
protein localization to cytoskeleton (GO:0044380)	9	0	.20	-	 < 0.01	1.00E00
