PANTHER GO-Slim Biological Process	background_genes.thetas.txt - REFLIST (11894)	(457)	(expected)	(over/under)	(fold Enrichment)	P-value
secondary alcohol metabolic process (GO:1902652)	17	0	.65	-	 < 0.01	1.00E00
execution phase of apoptosis (GO:0097194)	8	0	.31	-	 < 0.01	1.00E00
positive regulation of protein secretion (GO:0050714)	1	0	.04	-	 < 0.01	1.00E00
vesicle-mediated transport in synapse (GO:0099003)	49	0	1.88	-	 < 0.01	2.64E-01
amelogenesis (GO:0097186)	2	0	.08	-	 < 0.01	1.00E00
lipopolysaccharide-mediated signaling pathway (GO:0031663)	1	0	.04	-	 < 0.01	1.00E00
regulation of protein secretion (GO:0050708)	7	0	.27	-	 < 0.01	1.00E00
erythrocyte differentiation (GO:0030218)	5	0	.19	-	 < 0.01	1.00E00
T cell differentiation (GO:0030217)	6	0	.23	-	 < 0.01	1.00E00
circadian rhythm (GO:0007623)	22	0	.85	-	 < 0.01	1.00E00
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	16	0	.61	-	 < 0.01	1.00E00
glutamate metabolic process (GO:0006536)	2	0	.08	-	 < 0.01	1.00E00
Golgi to endosome transport (GO:0006895)	1	0	.04	-	 < 0.01	1.00E00
Golgi to plasma membrane transport (GO:0006893)	23	0	.88	-	 < 0.01	1.00E00
aspartate metabolic process (GO:0006531)	1	0	.04	-	 < 0.01	1.00E00
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	18	0	.69	-	 < 0.01	1.00E00
cellular response to lipid (GO:0071396)	23	0	.88	-	 < 0.01	1.00E00
arginine metabolic process (GO:0006525)	11	0	.42	-	 < 0.01	1.00E00
regulation of protein stability (GO:0031647)	15	0	.58	-	 < 0.01	1.00E00
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	15	0	.58	-	 < 0.01	1.00E00
sensory perception of chemical stimulus (GO:0007606)	4	0	.15	-	 < 0.01	1.00E00
cellular response to steroid hormone stimulus (GO:0071383)	6	0	.23	-	 < 0.01	1.00E00
visual perception (GO:0007601)	20	0	.77	-	 < 0.01	1.00E00
intracellular iron ion homeostasis (GO:0006879)	5	0	.19	-	 < 0.01	1.00E00
organic hydroxy compound transport (GO:0015850)	26	0	1.00	-	 < 0.01	6.24E-01
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	5	0	.19	-	 < 0.01	1.00E00
zymogen activation (GO:0031638)	6	0	.23	-	 < 0.01	1.00E00
regulation of cell junction assembly (GO:1901888)	15	0	.58	-	 < 0.01	1.00E00
protein monoubiquitination (GO:0006513)	5	0	.19	-	 < 0.01	1.00E00
regulation of membrane depolarization (GO:0003254)	5	0	.19	-	 < 0.01	1.00E00
negative regulation of protein depolymerization (GO:1901880)	23	0	.88	-	 < 0.01	1.00E00
cellular response to peptide hormone stimulus (GO:0071375)	25	0	.96	-	 < 0.01	6.24E-01
proton transmembrane transport (GO:1902600)	13	0	.50	-	 < 0.01	1.00E00
membrane protein ectodomain proteolysis (GO:0006509)	9	0	.35	-	 < 0.01	1.00E00
regulation of protein depolymerization (GO:1901879)	28	0	1.08	-	 < 0.01	6.26E-01
negative regulation of double-strand break repair via homologous recombination (GO:2000042)	5	0	.19	-	 < 0.01	1.00E00
protein sumoylation (GO:0016925)	11	0	.42	-	 < 0.01	1.00E00
peptide transport (GO:0015833)	5	0	.19	-	 < 0.01	1.00E00
oligopeptide transport (GO:0006857)	2	0	.08	-	 < 0.01	1.00E00
establishment or maintenance of apical/basal cell polarity (GO:0035088)	16	0	.61	-	 < 0.01	1.00E00
regulation of B cell proliferation (GO:0030888)	3	0	.12	-	 < 0.01	1.00E00
regulation of centriole replication (GO:0046599)	4	0	.15	-	 < 0.01	1.00E00
intracellular receptor signaling pathway (GO:0030522)	13	0	.50	-	 < 0.01	1.00E00
cellular response to tumor necrosis factor (GO:0071356)	7	0	.27	-	 < 0.01	1.00E00
homologous chromosome segregation (GO:0045143)	7	0	.27	-	 < 0.01	1.00E00
mesenchymal cell differentiation (GO:0048762)	31	0	1.19	-	 < 0.01	6.32E-01
leucine transport (GO:0015820)	1	0	.04	-	 < 0.01	1.00E00
tricarboxylic acid transport (GO:0006842)	4	0	.15	-	 < 0.01	1.00E00
regulation of system process (GO:0044057)	37	0	1.42	-	 < 0.01	4.03E-01
intracellular steroid hormone receptor signaling pathway (GO:0030518)	2	0	.08	-	 < 0.01	1.00E00
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	19	0	.73	-	 < 0.01	1.00E00
cellular response to cytokine stimulus (GO:0071345)	45	0	1.73	-	 < 0.01	4.20E-01
regulation of lipase activity (GO:0060191)	1	0	.04	-	 < 0.01	1.00E00
glycine transport (GO:0015816)	3	0	.12	-	 < 0.01	1.00E00
meiotic chromosome segregation (GO:0045132)	11	0	.42	-	 < 0.01	1.00E00
aspartate transmembrane transport (GO:0015810)	9	0	.35	-	 < 0.01	1.00E00
neurotransmitter transport (GO:0006836)	36	0	1.38	-	 < 0.01	4.03E-01
dicarboxylic acid transport (GO:0006835)	16	0	.61	-	 < 0.01	1.00E00
water transport (GO:0006833)	7	0	.27	-	 < 0.01	1.00E00
protein-RNA complex assembly (GO:0022618)	67	0	2.57	-	 < 0.01	1.86E-01
BMP signaling pathway (GO:0030509)	14	0	.54	-	 < 0.01	1.00E00
signal release from synapse (GO:0099643)	33	0	1.27	-	 < 0.01	6.38E-01
L-amino acid transport (GO:0015807)	16	0	.61	-	 < 0.01	1.00E00
neutral amino acid transport (GO:0015804)	20	0	.77	-	 < 0.01	1.00E00
branched-chain amino acid transport (GO:0015803)	1	0	.04	-	 < 0.01	1.00E00
basic amino acid transport (GO:0015802)	2	0	.08	-	 < 0.01	1.00E00
acidic amino acid transport (GO:0015800)	6	0	.23	-	 < 0.01	1.00E00
regulation of epithelial cell differentiation (GO:0030856)	7	0	.27	-	 < 0.01	1.00E00
epithelial cell differentiation (GO:0030855)	18	0	.69	-	 < 0.01	1.00E00
glial cell differentiation (GO:0010001)	14	0	.54	-	 < 0.01	1.00E00
cardiac muscle tissue development (GO:0048738)	14	0	.54	-	 < 0.01	1.00E00
defense response to other organism (GO:0098542)	33	0	1.27	-	 < 0.01	6.38E-01
phosphate ion transport (GO:0006817)	9	0	.35	-	 < 0.01	1.00E00
striated muscle tissue development (GO:0014706)	14	0	.54	-	 < 0.01	1.00E00
protein localization to cytoskeleton (GO:0044380)	9	0	.35	-	 < 0.01	1.00E00
