PANTHER GO-Slim Biological Process	background_genes.par_all.raisd.txt - REFLIST (10833)	(146)	(expected)	(over/under)	(fold Enrichment)	P-value
mitotic DNA replication initiation (GO:1902975)	6	0	.08	-	 < 0.01	1.00E00
sensory perception (GO:0007600)	37	0	.50	-	 < 0.01	1.00E00
intracellular iron ion homeostasis (GO:0006879)	5	0	.07	-	 < 0.01	1.00E00
organic hydroxy compound transport (GO:0015850)	22	0	.30	-	 < 0.01	1.00E00
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	5	0	.07	-	 < 0.01	1.00E00
regulation of cell junction assembly (GO:1901888)	15	0	.20	-	 < 0.01	1.00E00
protein monoubiquitination (GO:0006513)	5	0	.07	-	 < 0.01	1.00E00
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	21	0	.28	-	 < 0.01	1.00E00
intracellular calcium ion homeostasis (GO:0006874)	47	0	.63	-	 < 0.01	1.00E00
regulation of membrane depolarization (GO:0003254)	3	0	.04	-	 < 0.01	1.00E00
negative regulation of protein depolymerization (GO:1901880)	21	0	.28	-	 < 0.01	1.00E00
mitotic DNA replication (GO:1902969)	9	0	.12	-	 < 0.01	1.00E00
cellular response to peptide hormone stimulus (GO:0071375)	22	0	.30	-	 < 0.01	1.00E00
organic acid transport (GO:0015849)	94	0	1.27	-	 < 0.01	6.40E-01
proton transmembrane transport (GO:1902600)	12	0	.16	-	 < 0.01	1.00E00
membrane protein ectodomain proteolysis (GO:0006509)	8	0	.11	-	 < 0.01	1.00E00
cell fate commitment (GO:0045165)	55	0	.74	-	 < 0.01	1.00E00
lipid transport (GO:0006869)	73	0	.98	-	 < 0.01	6.28E-01
GPI anchor biosynthetic process (GO:0006506)	14	0	.19	-	 < 0.01	1.00E00
axonemal dynein complex assembly (GO:0070286)	7	0	.09	-	 < 0.01	1.00E00
regulation of protein depolymerization (GO:1901879)	23	0	.31	-	 < 0.01	1.00E00
GPI anchor metabolic process (GO:0006505)	15	0	.20	-	 < 0.01	1.00E00
amino acid transport (GO:0006865)	56	0	.75	-	 < 0.01	1.00E00
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	18	0	.24	-	 < 0.01	1.00E00
receptor internalization (GO:0031623)	12	0	.16	-	 < 0.01	1.00E00
negative regulation of double-strand break repair via homologous recombination (GO:2000042)	5	0	.07	-	 < 0.01	1.00E00
protein sumoylation (GO:0016925)	10	0	.13	-	 < 0.01	1.00E00
cellular response to growth factor stimulus (GO:0071363)	73	0	.98	-	 < 0.01	6.28E-01
organophosphate biosynthetic process (GO:0090407)	128	0	1.73	-	 < 0.01	4.23E-01
peptide transport (GO:0015833)	5	0	.07	-	 < 0.01	1.00E00
oligopeptide transport (GO:0006857)	2	0	.03	-	 < 0.01	1.00E00
tissue remodeling (GO:0048771)	1	0	.01	-	 < 0.01	1.00E00
cell-cell signaling by wnt (GO:0198738)	51	0	.69	-	 < 0.01	1.00E00
establishment or maintenance of apical/basal cell polarity (GO:0035088)	14	0	.19	-	 < 0.01	1.00E00
regulation of B cell proliferation (GO:0030888)	3	0	.04	-	 < 0.01	1.00E00
regulation of centriole replication (GO:0046599)	3	0	.04	-	 < 0.01	1.00E00
intracellular receptor signaling pathway (GO:0030522)	13	0	.18	-	 < 0.01	1.00E00
axoneme assembly (GO:0035082)	11	0	.15	-	 < 0.01	1.00E00
response to organic substance (GO:0010033)	207	0	2.79	-	 < 0.01	1.20E-01
cellular response to tumor necrosis factor (GO:0071356)	7	0	.09	-	 < 0.01	1.00E00
homologous chromosome segregation (GO:0045143)	6	0	.08	-	 < 0.01	1.00E00
mesenchymal cell differentiation (GO:0048762)	26	0	.35	-	 < 0.01	1.00E00
leucine transport (GO:0015820)	1	0	.01	-	 < 0.01	1.00E00
tricarboxylic acid transport (GO:0006842)	2	0	.03	-	 < 0.01	1.00E00
regulation of system process (GO:0044057)	33	0	.44	-	 < 0.01	1.00E00
neuron projection guidance (GO:0097485)	92	0	1.24	-	 < 0.01	6.38E-01
intracellular steroid hormone receptor signaling pathway (GO:0030518)	2	0	.03	-	 < 0.01	1.00E00
negative regulation of BMP signaling pathway (GO:0030514)	21	0	.28	-	 < 0.01	1.00E00
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	17	0	.23	-	 < 0.01	1.00E00
regulation of BMP signaling pathway (GO:0030510)	27	0	.36	-	 < 0.01	1.00E00
cellular response to cytokine stimulus (GO:0071345)	36	0	.49	-	 < 0.01	1.00E00
regulation of lipase activity (GO:0060191)	1	0	.01	-	 < 0.01	1.00E00
glycine transport (GO:0015816)	3	0	.04	-	 < 0.01	1.00E00
mitochondrial transport (GO:0006839)	40	0	.54	-	 < 0.01	1.00E00
aspartate transmembrane transport (GO:0015810)	9	0	.12	-	 < 0.01	1.00E00
meiotic chromosome segregation (GO:0045132)	9	0	.12	-	 < 0.01	1.00E00
inner dynein arm assembly (GO:0036159)	4	0	.05	-	 < 0.01	1.00E00
outer dynein arm assembly (GO:0036158)	2	0	.03	-	 < 0.01	1.00E00
dicarboxylic acid transport (GO:0006835)	15	0	.20	-	 < 0.01	1.00E00
water transport (GO:0006833)	4	0	.05	-	 < 0.01	1.00E00
BMP signaling pathway (GO:0030509)	13	0	.18	-	 < 0.01	1.00E00
glucan metabolic process (GO:0044042)	5	0	.07	-	 < 0.01	1.00E00
cortical actin cytoskeleton organization (GO:0030866)	11	0	.15	-	 < 0.01	1.00E00
cortical cytoskeleton organization (GO:0030865)	16	0	.22	-	 < 0.01	1.00E00
L-amino acid transport (GO:0015807)	16	0	.22	-	 < 0.01	1.00E00
protein localization to extracellular region (GO:0071692)	15	0	.20	-	 < 0.01	1.00E00
neutral amino acid transport (GO:0015804)	20	0	.27	-	 < 0.01	1.00E00
branched-chain amino acid transport (GO:0015803)	1	0	.01	-	 < 0.01	1.00E00
regulation of bone resorption (GO:0045124)	3	0	.04	-	 < 0.01	1.00E00
basic amino acid transport (GO:0015802)	2	0	.03	-	 < 0.01	1.00E00
acidic amino acid transport (GO:0015800)	6	0	.08	-	 < 0.01	1.00E00
iron ion transport (GO:0006826)	11	0	.15	-	 < 0.01	1.00E00
chloride transport (GO:0006821)	36	0	.49	-	 < 0.01	1.00E00
monoatomic anion transport (GO:0006820)	42	0	.57	-	 < 0.01	1.00E00
regulation of epithelial cell differentiation (GO:0030856)	7	0	.09	-	 < 0.01	1.00E00
epithelial cell differentiation (GO:0030855)	16	0	.22	-	 < 0.01	1.00E00
glial cell differentiation (GO:0010001)	9	0	.12	-	 < 0.01	1.00E00
protein neddylation (GO:0045116)	7	0	.09	-	 < 0.01	1.00E00
defense response to other organism (GO:0098542)	29	0	.39	-	 < 0.01	1.00E00
phosphate ion transport (GO:0006817)	7	0	.09	-	 < 0.01	1.00E00
calcium ion transport (GO:0006816)	67	0	.90	-	 < 0.01	1.00E00
sodium ion transport (GO:0006814)	45	0	.61	-	 < 0.01	1.00E00
protein localization to cytoskeleton (GO:0044380)	7	0	.09	-	 < 0.01	1.00E00
