PANTHER GO-Slim Biological Process	background_genes.for_all.raisd.txt - REFLIST (10898)	(91)	(expected)	(over/under)	(fold Enrichment)	P-value
mitotic DNA replication initiation (GO:1902975)	6	0	.05	-	 < 0.01	1.00E00
sensory perception (GO:0007600)	37	0	.31	-	 < 0.01	1.00E00
intracellular iron ion homeostasis (GO:0006879)	5	0	.04	-	 < 0.01	1.00E00
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	5	0	.04	-	 < 0.01	1.00E00
zymogen activation (GO:0031638)	6	0	.05	-	 < 0.01	1.00E00
regulation of cell junction assembly (GO:1901888)	15	0	.13	-	 < 0.01	1.00E00
protein monoubiquitination (GO:0006513)	5	0	.04	-	 < 0.01	1.00E00
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	21	0	.18	-	 < 0.01	1.00E00
intracellular calcium ion homeostasis (GO:0006874)	48	0	.40	-	 < 0.01	1.00E00
regulation of membrane depolarization (GO:0003254)	3	0	.03	-	 < 0.01	1.00E00
intracellular monoatomic ion homeostasis (GO:0006873)	95	0	.79	-	 < 0.01	1.00E00
positive regulation of cellular component biogenesis (GO:0044089)	40	0	.33	-	 < 0.01	1.00E00
negative regulation of protein depolymerization (GO:1901880)	22	0	.18	-	 < 0.01	1.00E00
mitotic DNA replication (GO:1902969)	9	0	.08	-	 < 0.01	1.00E00
cellular response to peptide hormone stimulus (GO:0071375)	23	0	.19	-	 < 0.01	1.00E00
proton transmembrane transport (GO:1902600)	13	0	.11	-	 < 0.01	1.00E00
GPI anchor biosynthetic process (GO:0006506)	14	0	.12	-	 < 0.01	1.00E00
axonemal dynein complex assembly (GO:0070286)	7	0	.06	-	 < 0.01	1.00E00
regulation of protein depolymerization (GO:1901879)	25	0	.21	-	 < 0.01	1.00E00
GPI anchor metabolic process (GO:0006505)	15	0	.13	-	 < 0.01	1.00E00
amino acid transport (GO:0006865)	55	0	.46	-	 < 0.01	1.00E00
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	18	0	.15	-	 < 0.01	1.00E00
receptor internalization (GO:0031623)	12	0	.10	-	 < 0.01	1.00E00
negative regulation of double-strand break repair via homologous recombination (GO:2000042)	5	0	.04	-	 < 0.01	1.00E00
protein sumoylation (GO:0016925)	10	0	.08	-	 < 0.01	1.00E00
organophosphate biosynthetic process (GO:0090407)	131	0	1.09	-	 < 0.01	6.30E-01
peptide transport (GO:0015833)	5	0	.04	-	 < 0.01	1.00E00
oligopeptide transport (GO:0006857)	2	0	.02	-	 < 0.01	1.00E00
tissue remodeling (GO:0048771)	1	0	.01	-	 < 0.01	1.00E00
establishment or maintenance of apical/basal cell polarity (GO:0035088)	14	0	.12	-	 < 0.01	1.00E00
regulation of B cell proliferation (GO:0030888)	3	0	.03	-	 < 0.01	1.00E00
regulation of centriole replication (GO:0046599)	3	0	.03	-	 < 0.01	1.00E00
intracellular receptor signaling pathway (GO:0030522)	13	0	.11	-	 < 0.01	1.00E00
cellular response to tumor necrosis factor (GO:0071356)	7	0	.06	-	 < 0.01	1.00E00
homologous chromosome segregation (GO:0045143)	6	0	.05	-	 < 0.01	1.00E00
mesenchymal cell differentiation (GO:0048762)	26	0	.22	-	 < 0.01	1.00E00
leucine transport (GO:0015820)	1	0	.01	-	 < 0.01	1.00E00
tricarboxylic acid transport (GO:0006842)	3	0	.03	-	 < 0.01	1.00E00
regulation of system process (GO:0044057)	33	0	.28	-	 < 0.01	1.00E00
neuron projection guidance (GO:0097485)	94	0	.78	-	 < 0.01	1.00E00
intracellular steroid hormone receptor signaling pathway (GO:0030518)	2	0	.02	-	 < 0.01	1.00E00
negative regulation of BMP signaling pathway (GO:0030514)	21	0	.18	-	 < 0.01	1.00E00
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	18	0	.15	-	 < 0.01	1.00E00
regulation of BMP signaling pathway (GO:0030510)	27	0	.23	-	 < 0.01	1.00E00
cellular response to cytokine stimulus (GO:0071345)	37	0	.31	-	 < 0.01	1.00E00
regulation of lipase activity (GO:0060191)	1	0	.01	-	 < 0.01	1.00E00
glycine transport (GO:0015816)	3	0	.03	-	 < 0.01	1.00E00
mitochondrial transport (GO:0006839)	39	0	.33	-	 < 0.01	1.00E00
aspartate transmembrane transport (GO:0015810)	9	0	.08	-	 < 0.01	1.00E00
meiotic chromosome segregation (GO:0045132)	10	0	.08	-	 < 0.01	1.00E00
inner dynein arm assembly (GO:0036159)	4	0	.03	-	 < 0.01	1.00E00
neurotransmitter transport (GO:0006836)	32	0	.27	-	 < 0.01	1.00E00
outer dynein arm assembly (GO:0036158)	2	0	.02	-	 < 0.01	1.00E00
dicarboxylic acid transport (GO:0006835)	16	0	.13	-	 < 0.01	1.00E00
water transport (GO:0006833)	4	0	.03	-	 < 0.01	1.00E00
protein-RNA complex assembly (GO:0022618)	60	0	.50	-	 < 0.01	1.00E00
glucan metabolic process (GO:0044042)	5	0	.04	-	 < 0.01	1.00E00
ribonucleoprotein complex biogenesis (GO:0022613)	158	0	1.32	-	 < 0.01	6.45E-01
cortical actin cytoskeleton organization (GO:0030866)	11	0	.09	-	 < 0.01	1.00E00
cortical cytoskeleton organization (GO:0030865)	16	0	.13	-	 < 0.01	1.00E00
signal release from synapse (GO:0099643)	29	0	.24	-	 < 0.01	1.00E00
L-amino acid transport (GO:0015807)	16	0	.13	-	 < 0.01	1.00E00
protein localization to extracellular region (GO:0071692)	15	0	.13	-	 < 0.01	1.00E00
neutral amino acid transport (GO:0015804)	20	0	.17	-	 < 0.01	1.00E00
branched-chain amino acid transport (GO:0015803)	1	0	.01	-	 < 0.01	1.00E00
regulation of bone resorption (GO:0045124)	3	0	.03	-	 < 0.01	1.00E00
basic amino acid transport (GO:0015802)	2	0	.02	-	 < 0.01	1.00E00
acidic amino acid transport (GO:0015800)	6	0	.05	-	 < 0.01	1.00E00
iron ion transport (GO:0006826)	14	0	.12	-	 < 0.01	1.00E00
chloride transport (GO:0006821)	35	0	.29	-	 < 0.01	1.00E00
monoatomic anion transport (GO:0006820)	42	0	.35	-	 < 0.01	1.00E00
regulation of anatomical structure morphogenesis (GO:0022603)	72	0	.60	-	 < 0.01	1.00E00
regulation of epithelial cell differentiation (GO:0030856)	7	0	.06	-	 < 0.01	1.00E00
epithelial cell differentiation (GO:0030855)	16	0	.13	-	 < 0.01	1.00E00
glial cell differentiation (GO:0010001)	10	0	.08	-	 < 0.01	1.00E00
cardiac muscle tissue development (GO:0048738)	14	0	.12	-	 < 0.01	1.00E00
protein neddylation (GO:0045116)	7	0	.06	-	 < 0.01	1.00E00
defense response to other organism (GO:0098542)	31	0	.26	-	 < 0.01	1.00E00
phosphate ion transport (GO:0006817)	8	0	.07	-	 < 0.01	1.00E00
calcium ion transport (GO:0006816)	65	0	.54	-	 < 0.01	1.00E00
sodium ion transport (GO:0006814)	49	0	.41	-	 < 0.01	1.00E00
potassium ion transport (GO:0006813)	85	0	.71	-	 < 0.01	1.00E00
monoatomic cation transport (GO:0006812)	236	0	1.97	-	 < 0.01	2.70E-01
striated muscle tissue development (GO:0014706)	14	0	.12	-	 < 0.01	1.00E00
monoatomic ion transport (GO:0006811)	285	0	2.38	-	 < 0.01	1.79E-01
protein localization to cytoskeleton (GO:0044380)	8	0	.07	-	 < 0.01	1.00E00
